type	latitude	longitude	altitude (m)	name
W	21.007599192	106.969413757	128.7	Px1y1
W	21.007599192	106.974563599	75.6	Px2y1
W	21.007599192	106.979713440	65.0	Px3y1
W	21.007599192	106.984863281	19.6	Px4y1
W	21.007599192	106.990013123	6.0	Px5y1
W	21.007599192	106.995162964	0.0	Px6y1
W	21.007599192	107.000312805	4.1	Px7y1
W	21.007599192	107.005462646	3.0	Px8y1
W	21.007599192	107.010612488	2.8	Px9y1
W	21.007599192	107.015762329	4.1	Px10y1
W	21.007599192	107.020912170	2.7	Px11y1
W	21.007599192	107.026062012	2.2	Px12y1
W	21.007599192	107.031211853	0.1	Px13y1
W	21.007599192	107.036361694	0.0	Px14y1
W	21.007599192	107.041511536	0.0	Px15y1
W	21.007599192	107.046661377	1.0	Px16y1
W	21.007599192	107.051811218	3.1	Px17y1
W	21.007599192	107.056961060	1.7	Px18y1
W	21.007599192	107.062110901	0.7	Px19y1
W	21.007599192	107.067260742	10.6	Px20y1
W	21.007599192	107.072410584	3.1	Px21y1
W	21.007599192	107.077560425	2.1	Px22y1
W	21.007599192	107.082710266	0.8	Px23y1
W	21.007599192	107.087860107	2.7	Px24y1
W	21.007599192	107.093009949	2.9	Px25y1
W	21.007599192	107.098159790	0.4	Px26y1
W	21.002791568	106.969413757	52.6	Px1y2
W	21.002791568	106.974563599	29.9	Px2y2
W	21.002791568	106.979713440	13.0	Px3y2
W	21.002791568	106.984863281	5.6	Px4y2
W	21.002791568	106.990013123	4.1	Px5y2
W	21.002791568	106.995162964	-0.1	Px6y2
W	21.002791568	107.000312805	2.1	Px7y2
W	21.002791568	107.005462646	1.2	Px8y2
W	21.002791568	107.010612488	0.4	Px9y2
W	21.002791568	107.015762329	2.7	Px10y2
W	21.002791568	107.020912170	0.0	Px11y2
W	21.002791568	107.026062012	0.0	Px12y2
W	21.002791568	107.031211853	0.0	Px13y2
W	21.002791568	107.036361694	0.0	Px14y2
W	21.002791568	107.041511536	0.0	Px15y2
W	21.002791568	107.046661377	0.9	Px16y2
W	21.002791568	107.051811218	2.8	Px17y2
W	21.002791568	107.056961060	0.0	Px18y2
W	21.002791568	107.062110901	3.3	Px19y2
W	21.002791568	107.067260742	3.3	Px20y2
W	21.002791568	107.072410584	2.4	Px21y2
W	21.002791568	107.077560425	1.1	Px22y2
W	21.002791568	107.082710266	0.4	Px23y2
W	21.002791568	107.087860107	3.2	Px24y2
W	21.002791568	107.093009949	2.6	Px25y2
W	21.002791568	107.098159790	0.0	Px26y2
W	20.997983790	106.969413757	13.6	Px1y3
W	20.997983790	106.974563599	19.3	Px2y3
W	20.997983790	106.979713440	5.7	Px3y3
W	20.997983790	106.984863281	4.1	Px4y3
W	20.997983790	106.990013123	2.4	Px5y3
W	20.997983790	106.995162964	3.4	Px6y3
W	20.997983790	107.000312805	2.2	Px7y3
